kilometraj_total,vechime_ani,coolant_temp_c,oil_temp_c,oil_pressure_bar,maf_gps,map_kpa,battery_v,vibratii_relanti,zile_de_la_ultima_revizie,delta_temp,pressure_low,pressure_very_low,service_overdue,coolant_overheat,oil_overheat,battery_low,vibratii_high,airflow_mismatch,pressure_margin,pressure_expected,pressure_residual,delta_days,delta_km,trend_temp,trend_pressure,trend_vibratii,trend_battery,anomaly_count,temp_stress,pressure_stress,health_index,defect
138513,11,87.47,91.03,2.6,6.64,29.52,13.9,2.17,187,3.56,0,0,1,0,0,0,0,0,1.4,2.958,-0.357,87,1897,0.177,-0.0617,0.0083,-0.0035,1,0.0,0.2977,0.022,1
241125,20,87.09,95.82,1.943,9.88,36.53,13.18,3.41,9,8.73,0,0,0,0,0,0,1,0,0.743,2.71,-0.767,68,540,0.2299,1.1689,0.4064,0.0594,1,0.0,0.6388,0.2273,1
147622,15,91.36,93.42,2.481,11.31,35.43,13.41,2.76,66,2.07,0,0,0,0,0,0,0,0,1.281,2.853,-0.373,33,886,-0.2706,0.1521,0.1056,-0.138,0,0.0,0.3105,0.0499,0
222869,16,82.41,86.91,1.974,8.58,33.48,13.64,2.88,407,4.49,0,0,1,0,0,0,0,0,0.774,2.956,-0.982,107,1995,0.4422,0.6621,0.2458,0.1895,1,0.0,0.8185,0.2043,1
169743,15,92.12,94.81,3.103,11.38,45.87,13.46,2.94,324,2.69,0,0,1,0,0,0,0,0,1.903,2.867,0.235,94,2798,0.2537,0.1957,0.228,0.0914,1,0.0,0.0,0.0503,0
175683,16,96.1,104.57,2.619,15.77,73.17,13.36,2.34,147,8.47,0,0,0,0,0,0,0,0,1.419,2.761,-0.142,100,506,0.0743,-0.1402,0.1325,0.0594,0,0.0,0.1185,0.0009,0
166931,11,93.22,99.75,2.911,14.91,60.64,13.9,2.61,366,6.53,0,0,1,0,0,0,0,0,1.711,2.907,0.004,114,1619,0.0904,0.0321,-0.0017,-0.0207,1,0.0,0.0,0.0007,0
68734,3,88.56,98.03,3.375,19.6,69.19,14.36,1.74,2,9.47,0,0,0,0,0,0,0,0,2.175,3.136,0.239,78,2620,-0.1207,0.2207,0.3768,0.0288,0,0.0,0.0,0.0244,0
237173,17,92.99,95.09,1.712,6.76,34.05,13.37,3.05,19,2.09,0,0,0,0,0,0,0,0,0.512,2.775,-1.063,92,3739,0.9458,1.2603,0.6588,0.0846,0,0.0,0.8855,0.3116,1
112774,10,94.52,102.02,2.995,16.11,65.45,13.57,2.36,371,7.5,0,0,1,0,0,0,0,0,1.795,2.901,0.093,102,2191,0.0519,-0.2661,-0.0808,0.1962,1,0.0,0.0,0.0,0
132574,11,93.04,97.44,2.997,9.24,45.18,14.0,2.33,283,4.4,0,0,1,0,0,0,0,0,1.797,2.892,0.105,90,1899,0.1298,0.0351,0.0764,0.1683,1,0.0,0.0,0.0428,0
97263,8,90.97,98.43,2.992,14.83,55.81,14.08,2.3,251,7.46,0,0,1,0,0,0,0,0,1.792,2.975,0.017,41,2819,-0.0102,0.3036,0.1085,0.0747,1,0.0,0.0,0.024,0
70218,4,91.65,97.93,2.917,11.93,48.41,14.32,1.36,144,6.28,0,0,0,0,0,0,0,0,1.717,3.035,-0.118,104,1872,0.1905,0.1479,0.2195,0.1498,0,0.0,0.0981,0.0434,0
269169,19,89.03,99.4,1.416,7.64,37.19,13.11,3.2,343,10.36,0,0,1,0,0,0,0,0,0.216,2.661,-1.245,39,776,0.4635,1.0585,0.5471,0.3387,1,0.0,1.0377,0.2911,0
203493,16,92.56,96.52,2.526,12.59,52.07,13.0,3.07,255,3.97,0,0,1,0,0,0,0,0,1.326,2.838,-0.311,99,1922,0.2025,0.3428,0.3568,0.6443,1,0.0,0.2595,0.1102,0
210281,13,93.68,99.63,2.784,11.07,48.79,13.44,2.7,182,5.95,0,0,1,0,0,0,0,0,1.584,2.823,-0.039,91,2934,0.1297,-0.0668,0.2396,0.2811,1,0.0,0.0321,0.0155,0
134386,9,82.97,85.35,3.236,9.37,25.0,13.61,1.66,159,2.38,0,0,0,0,0,0,0,0,2.036,3.093,0.142,39,3059,-0.1026,0.0539,0.0761,0.037,0,0.0,0.0,0.0239,0
199343,17,91.92,99.85,2.464,12.27,40.26,13.4,3.46,148,7.93,0,0,0,0,0,0,1,0,1.264,2.704,-0.24,110,1448,0.0453,0.2624,0.1592,0.054,1,0.0,0.1997,0.0994,0
154046,11,86.37,93.22,2.981,11.32,54.21,13.69,2.81,241,6.85,0,0,1,0,0,0,0,0,1.781,3.013,-0.032,63,500,0.1007,0.0715,0.0002,-0.0022,1,0.0,0.0263,0.024,1
154314,9,87.74,93.35,3.002,13.03,45.88,13.86,2.21,275,5.61,0,0,1,0,0,0,0,0,1.802,3.017,-0.015,98,1960,0.1835,0.0346,0.0423,0.092,1,0.0,0.0123,0.0416,0
174465,10,90.61,93.97,3.009,11.66,48.57,13.86,2.05,338,3.35,0,0,1,0,0,0,0,0,1.809,2.995,0.015,79,2510,-0.0219,-0.0086,-0.0461,0.0517,1,0.0,0.0,0.0029,0
93975,5,91.86,94.1,3.006,8.13,31.48,14.1,1.46,170,2.24,0,0,0,0,0,0,0,0,1.806,3.024,-0.018,93,3116,0.2708,0.1235,-0.0031,0.1235,0,0.0,0.015,0.015,0
28435,2,87.76,94.06,3.474,13.66,45.59,14.19,1.44,106,6.31,0,0,0,0,0,0,0,0,2.274,3.141,0.333,102,3768,0.0158,0.0927,0.2434,0.0262,0,0.0,0.0,0.0677,0
142092,12,85.04,90.01,3.094,10.24,40.65,13.47,2.82,233,4.97,0,0,1,0,0,0,0,0,1.894,3.002,0.091,48,3726,0.0173,0.2439,0.2413,0.1026,1,0.0,0.0,0.0771,0
233211,18,95.08,105.79,1.367,13.2,39.15,13.09,4.14,245,10.71,0,0,1,0,0,0,1,0,0.167,2.561,-1.194,86,2233,0.3096,0.6466,0.9323,0.1071,2,0.0,0.9949,0.2392,1
70028,2,84.76,85.06,3.358,11.49,32.49,14.33,1.43,116,0.3,0,0,0,0,0,0,0,0,2.158,3.269,0.09,67,2505,0.0189,0.0397,0.4136,0.0518,0,0.0,0.0,0.029,0
228302,18,93.06,98.23,2.317,12.01,54.81,13.38,3.01,30,5.17,0,0,0,0,0,0,0,0,1.117,2.775,-0.458,35,1024,-0.041,0.049,0.3128,0.1499,0,0.0,0.3818,0.0679,0
219054,17,89.77,96.85,1.902,11.81,46.84,13.13,3.18,139,7.09,0,0,0,0,0,0,0,0,0.702,2.79,-0.888,38,3236,0.2031,1.1085,0.946,0.1362,0,0.0,0.7401,0.2709,1
76709,6,89.27,97.35,3.203,10.82,45.42,14.39,1.86,29,8.08,0,0,0,0,0,0,0,0,2.003,2.995,0.208,93,3373,0.157,-0.0602,0.165,-0.0092,0,0.0,0.0,0.0442,0
147986,13,92.32,96.98,2.619,16.98,70.71,13.75,2.27,34,4.66,0,0,0,0,0,0,0,0,1.419,2.963,-0.344,101,512,-0.0169,0.1467,0.3699,0.2146,0,0.0,0.2867,0.0845,1
46341,4,95.31,98.95,3.126,12.64,48.63,13.95,1.14,405,3.64,0,0,1,0,0,0,0,0,1.926,3.016,0.111,38,2557,0.1014,-0.0104,0.3139,0.09,1,0.0,0.0,0.0525,0
197994,16,95.77,98.76,2.279,14.05,58.81,13.52,2.83,328,2.99,0,0,1,0,0,0,0,0,1.079,2.82,-0.541,55,2473,0.0952,0.2089,0.3905,0.1378,1,0.0,0.4506,0.1249,0
228126,15,93.94,100.56,2.232,12.34,45.82,13.49,2.95,14,6.62,0,0,0,0,0,0,0,0,1.032,2.752,-0.52,89,3455,-0.0514,-0.0248,0.1927,0.1467,0,0.0,0.4337,0.054,0
92189,8,83.08,90.98,3.252,9.15,37.06,14.04,2.47,146,7.9,0,0,0,0,0,0,0,0,2.052,3.049,0.203,103,2421,-0.2719,-0.0375,0.2535,-0.0022,0,0.0,0.0,0.0,0
27767,2,78.69,83.11,3.548,6.49,27.17,14.33,0.97,106,4.41,0,0,0,0,0,0,0,0,2.348,3.287,0.262,59,2399,-0.0304,0.0099,0.1574,0.0391,0,0.0,0.0,0.009,0
220188,20,89.08,96.04,2.19,12.12,45.38,13.07,3.55,409,6.96,0,0,1,0,0,0,1,0,0.99,2.741,-0.551,74,2688,0.0289,0.2165,0.2813,0.6622,2,0.0,0.4593,0.1419,1
128408,9,90.88,92.12,3.17,8.01,25.0,14.2,1.98,183,1.24,0,0,1,0,0,0,0,0,1.97,2.958,0.213,89,1776,-0.1058,0.1844,-0.1366,0.0533,1,0.0,0.0,0.0155,0
252776,18,87.41,94.54,2.449,14.26,45.81,13.06,3.07,109,7.13,0,0,0,0,0,0,0,0,1.249,2.812,-0.364,84,1242,-0.2575,-0.0394,0.1793,0.731,0,0.0,0.3029,0.0776,0
212224,14,92.89,96.78,2.676,10.77,46.42,13.68,2.28,266,3.89,0,0,1,0,0,0,0,0,1.476,2.85,-0.174,60,1987,0.1408,0.0179,0.2163,0.1421,1,0.0,0.1454,0.0687,0
199039,16,85.3,90.33,2.887,11.12,38.95,13.73,2.87,199,5.04,0,0,1,0,0,0,0,0,1.687,2.909,-0.022,70,1751,0.0348,-0.0087,-0.0447,0.1907,1,0.0,0.0186,0.0064,0
209145,16,85.66,92.09,2.368,9.48,40.71,13.33,2.94,78,6.43,0,0,0,0,0,0,0,0,1.168,2.881,-0.513,39,2212,-0.072,0.1508,0.1635,0.1822,0,0.0,0.4278,0.0959,0
48811,4,82.92,85.83,3.225,8.62,25.0,14.03,2.17,128,2.9,0,0,0,0,0,0,0,0,2.025,3.183,0.042,82,4803,-0.1224,0.0668,0.136,-0.0037,0,0.0,0.0,0.0203,0
112485,8,97.46,106.92,2.884,14.49,61.4,14.04,1.9,53,9.46,0,0,0,0,0,0,0,0,1.684,2.827,0.057,59,2756,0.0074,0.0758,0.1213,0.1343,0,0.0,0.0,0.0216,0
129667,10,90.88,94.95,2.364,10.36,37.28,13.61,2.56,291,4.07,0,0,1,0,0,0,0,0,1.164,2.93,-0.566,116,1504,0.1724,0.0559,-0.1041,0.0413,1,0.0,0.4718,0.0759,0
123147,10,79.77,83.94,3.439,7.91,28.39,13.66,2.01,407,4.16,0,0,1,0,0,0,0,0,2.239,3.115,0.324,30,1632,0.0731,0.358,-0.0198,0.0989,1,0.0,0.0,0.0284,0
19003,1,90.24,100.63,3.42,11.65,49.63,14.67,1.12,339,10.4,0,0,1,0,0,0,0,0,2.22,3.046,0.374,32,3421,0.0093,0.1812,0.2309,0.0171,1,0.0,0.0,0.0052,0
145897,11,85.38,91.89,2.981,10.17,43.55,13.4,1.82,157,6.51,0,0,0,0,0,0,0,0,1.781,2.996,-0.015,106,2147,0.0575,0.0049,0.2212,0.1406,0,0.0,0.0128,0.0056,0
43432,4,85.23,87.93,3.528,10.25,36.98,14.2,1.86,204,2.7,0,0,1,0,0,0,0,0,2.328,3.189,0.339,68,3080,0.1966,0.1957,0.2485,0.1201,1,0.0,0.0,0.0433,0
174855,15,88.2,91.87,2.865,10.8,35.5,13.28,2.77,25,3.67,0,0,0,0,0,0,0,0,1.665,2.885,-0.019,111,1160,-0.0816,0.0841,0.2882,0.0638,0,0.0,0.016,0.0297,0
214347,14,93.0,99.95,2.639,8.41,41.92,13.73,2.72,154,6.96,0,0,0,0,0,0,0,0,1.439,2.769,-0.13,95,1956,0.1473,0.0159,0.1095,0.0136,0,0.0,0.1084,0.0327,0
300406,19,102.82,108.66,2.321,15.05,60.84,13.59,3.21,13,5.84,0,0,0,1,0,0,1,0,1.121,2.57,-0.249,67,1932,0.754,-0.0111,-0.0342,0.2632,2,0.2411,0.2077,0.099,1
151735,15,92.08,101.68,1.72,12.93,48.57,13.34,2.89,312,9.6,0,0,1,0,0,0,0,0,0.52,2.741,-1.021,65,3049,0.2704,1.1794,0.7736,0.1099,1,0.0,0.8505,0.288,0
65658,8,88.35,90.34,3.597,10.89,41.52,13.56,1.68,381,1.99,0,0,1,0,0,0,0,0,2.397,3.079,0.518,99,2404,-0.0319,0.021,0.3243,0.0239,1,0.0,0.0,0.0319,0
217704,20,94.94,99.74,2.253,12.81,53.93,13.35,3.25,80,4.8,0,0,0,0,0,0,1,0,1.053,2.701,-0.448,42,2590,-0.06,0.099,0.0173,0.0834,1,0.0,0.3737,0.0679,0
108131,9,83.59,89.31,2.884,12.11,42.39,13.75,1.74,283,5.72,0,0,1,0,0,0,0,0,1.684,3.083,-0.199,48,2816,0.0326,0.2567,0.11,0.0973,1,0.0,0.166,0.0407,1
109418,7,94.49,101.49,2.754,15.13,47.62,14.01,1.79,251,7.0,0,0,1,0,0,0,0,0,1.554,2.901,-0.146,82,2127,0.1467,0.1009,-0.077,-0.0049,1,0.0,0.1219,0.0474,0
246124,19,87.72,95.37,2.541,12.9,44.12,13.36,3.3,175,7.65,0,0,0,0,0,0,1,0,1.341,2.769,-0.228,43,2752,0.0796,-0.0911,0.0664,0.1604,1,0.0,0.19,0.0303,0
102605,8,91.08,92.52,2.807,13.88,50.26,14.04,2.3,308,1.44,0,0,1,0,0,0,0,0,1.607,3.071,-0.264,119,2132,0.2115,0.2145,-0.0574,0.1076,1,0.0,0.2201,0.0879,1
41274,2,84.19,90.74,3.207,10.84,35.78,14.41,1.45,285,6.55,0,0,1,0,0,0,0,0,2.007,3.168,0.039,85,3521,-0.0185,0.1047,0.3174,0.0483,1,0.0,0.0,0.0215,1
103602,10,82.11,97.21,2.107,8.14,26.05,13.81,2.58,113,15.1,0,0,0,0,0,0,0,0,0.907,2.84,-0.733,120,1597,0.1305,0.9562,0.4061,0.1071,0,0.0,0.6112,0.1829,1
187256,16,92.75,94.22,2.502,12.28,54.7,13.61,2.77,335,1.47,0,0,1,0,0,0,0,0,1.302,2.894,-0.392,51,1603,0.0634,0.4725,0.1086,0.0432,1,0.0,0.3268,0.0991,1
49398,4,92.8,100.35,3.296,15.97,63.07,14.22,1.16,275,7.55,0,0,1,0,0,0,0,0,2.096,3.045,0.25,39,1920,0.1538,0.0053,-0.0253,-0.0824,1,0.0,0.0,0.0131,1
80100,10,83.94,89.35,3.472,5.61,26.71,13.79,2.68,131,5.41,0,0,0,0,0,0,0,0,2.272,3.0,0.473,53,1290,-0.1166,-0.0891,0.2442,0.0416,0,0.0,0.0,0.0106,0
6853,3,87.44,89.84,3.827,10.95,44.51,14.21,1.24,308,2.41,0,0,1,0,0,0,0,0,2.627,3.201,0.626,74,1047,0.0643,-0.1404,0.0649,0.0869,1,0.0,0.0,0.0255,0
140879,14,91.01,94.64,2.778,10.96,35.72,13.68,2.87,269,3.64,0,0,1,0,0,0,0,0,1.578,2.85,-0.072,37,2040,-0.0741,0.2526,0.4139,0.1628,1,0.0,0.0601,0.0442,0
143563,10,96.98,104.84,2.7,13.19,54.37,13.75,2.1,49,7.86,0,0,0,0,0,0,0,0,1.5,2.801,-0.1,87,3697,0.0967,-0.2493,0.343,-0.0026,0,0.0,0.0835,0.0353,0
92886,7,91.18,96.0,3.129,10.57,45.45,14.01,2.04,69,4.82,0,0,0,0,0,0,0,0,1.929,3.002,0.127,49,2507,-0.107,-0.0509,0.2413,0.1347,0,0.0,0.0,0.0299,0
78275,5,96.53,107.0,2.962,19.73,88.58,14.09,1.71,136,10.47,0,0,0,0,0,0,0,0,1.762,2.994,-0.033,111,2387,-0.1681,0.1284,-0.0093,-0.0403,0,0.0,0.0272,0.0099,0
98081,12,82.39,87.83,3.051,8.86,37.78,13.63,2.24,18,5.44,0,0,0,0,0,0,0,0,1.851,3.034,0.016,61,1912,-0.0597,0.1019,0.2129,-0.019,0,0.0,0.0,0.0,0
132847,14,95.18,100.23,2.604,16.45,63.52,13.87,3.13,170,5.04,0,0,0,0,0,0,0,0,1.404,2.85,-0.246,63,3419,0.1522,0.2127,0.2956,0.006,0,0.0,0.2048,0.0792,1
246298,19,105.75,106.43,1.53,14.74,64.88,13.3,3.31,193,0.68,0,0,1,1,0,0,1,0,0.33,2.631,-1.101,81,1055,0.8711,0.8465,0.121,0.2729,3,0.3876,0.9174,0.314,1
36896,9,92.96,99.61,3.015,12.68,49.47,13.99,1.67,325,6.65,0,0,1,0,0,0,0,0,1.815,2.906,0.109,79,1142,0.3098,0.2735,0.0467,0.0426,1,0.0,0.0,0.0621,0
82002,4,84.33,91.71,3.164,11.21,42.52,13.97,2.08,72,7.39,0,0,0,0,0,0,0,0,1.964,3.136,0.028,63,2162,0.0515,0.0502,0.142,0.0896,0,0.0,0.0,0.004,1
159186,17,92.32,98.32,2.421,11.41,43.33,13.36,2.23,238,5.99,0,0,1,0,0,0,0,0,1.221,2.747,-0.326,77,2592,0.1916,0.0253,0.1766,0.1368,1,0.0,0.2713,0.0529,0
179246,13,93.96,101.79,2.888,9.81,42.14,13.75,2.13,279,7.82,0,0,1,0,0,0,0,0,1.688,2.753,0.135,99,1319,0.2643,0.1638,0.2003,0.1404,1,0.0,0.0,0.0549,0
158656,15,89.23,97.27,2.586,12.59,57.87,13.67,2.86,188,8.03,0,0,1,0,0,0,0,0,1.386,2.866,-0.28,110,1759,0.0665,0.211,0.0743,0.0239,1,0.0,0.2337,0.0975,0
53475,2,87.08,94.74,3.478,8.7,29.78,14.8,1.37,381,7.66,0,0,1,0,0,0,0,0,2.278,3.064,0.414,83,2204,0.1379,0.1989,-0.0643,-0.1841,1,0.0,0.0,0.0127,0
171007,7,84.26,89.69,2.959,11.79,39.75,14.07,1.9,133,5.43,0,0,0,0,0,0,0,0,1.759,3.105,-0.146,81,3595,-0.1073,0.3035,0.0528,0.0257,0,0.0,0.122,0.019,0
133593,16,87.58,92.98,2.759,9.09,38.05,13.37,2.64,171,5.4,0,0,0,0,0,0,0,0,1.559,2.853,-0.094,94,695,0.0126,0.2283,-0.1143,0.0791,0,0.0,0.0782,0.023,1
224800,17,82.52,86.77,2.649,7.04,25.0,13.27,3.22,1,4.24,0,0,0,0,0,0,1,0,1.449,2.905,-0.255,80,2720,-0.0278,0.1362,-0.0609,0.2263,1,0.0,0.2129,0.0575,0
64002,9,89.93,95.03,3.177,13.47,54.02,13.76,1.59,172,5.1,0,0,0,0,0,0,0,0,1.977,3.015,0.161,104,3015,0.1498,-0.036,0.1692,0.0094,0,0.0,0.0,0.0352,1
219018,17,91.54,96.64,2.628,15.0,56.88,13.19,2.99,8,5.09,0,0,0,0,0,0,0,0,1.428,2.835,-0.207,32,3922,0.1618,-0.0423,0.3393,0.2906,0,0.0,0.1723,0.0595,0
199629,17,89.28,91.1,2.686,9.26,33.12,13.5,2.82,413,1.82,0,0,1,0,0,0,0,0,1.486,2.85,-0.165,110,1006,0.2361,0.2739,-0.0928,0.0284,1,0.0,0.1371,0.065,0
100567,8,92.36,98.47,2.793,14.63,56.42,13.88,2.0,100,6.11,0,0,0,0,0,0,0,0,1.593,2.976,-0.183,116,1192,-0.1314,0.1573,0.0282,0.0237,0,0.0,0.1529,0.0282,1
193818,18,91.02,101.37,1.276,6.42,25.0,13.65,3.22,341,10.35,0,0,1,0,0,0,1,0,0.076,2.593,-1.317,111,1522,0.4344,1.0855,0.3707,0.0994,2,0.0,1.1161,0.2934,1
93247,6,85.78,95.11,3.132,12.78,42.34,14.3,1.19,49,9.33,0,0,0,0,0,0,0,0,1.932,3.027,0.105,107,953,0.0267,0.1563,0.1372,-0.0366,0,0.0,0.0,0.0045,0
25575,5,87.71,92.21,3.559,10.99,40.23,14.34,1.64,115,4.5,0,0,0,0,0,0,0,0,2.359,3.097,0.462,80,3232,-0.0445,-0.0709,0.1202,-0.0257,0,0.0,0.0,0.0,0
202853,14,85.74,90.22,2.663,13.63,43.23,13.61,2.13,50,4.48,0,0,0,0,0,0,0,0,1.463,2.968,-0.306,44,2570,0.0426,0.2232,0.1721,0.0021,0,0.0,0.2547,0.0577,1
147641,13,88.12,88.89,2.898,7.98,43.16,13.78,2.39,154,0.77,0,0,0,0,0,0,0,0,1.698,3.015,-0.116,93,2281,-0.0089,0.1623,0.0077,0.1965,0,0.0,0.0971,0.0181,0
7624,3,87.16,90.1,3.67,8.23,40.92,14.45,1.0,253,2.94,0,0,1,0,0,0,0,0,2.47,3.182,0.488,40,2624,0.0429,0.1124,0.2009,0.035,1,0.0,0.0,0.0357,0
248728,17,85.52,88.24,2.211,10.36,36.57,13.85,3.06,176,2.72,0,0,0,0,0,0,0,0,1.011,2.921,-0.71,44,3259,0.0942,0.4109,0.0224,-0.0595,0,0.0,0.5919,0.1226,1
46749,4,88.52,92.67,3.517,11.94,40.48,14.14,1.67,254,4.15,0,0,1,0,0,0,0,0,2.317,3.109,0.408,42,500,0.0193,0.2099,0.0577,-0.061,1,0.0,0.0,0.0086,0
256193,17,92.1,98.48,2.303,15.32,61.09,12.99,3.14,338,6.38,0,0,1,0,0,0,0,0,1.103,2.815,-0.511,103,2595,0.0006,0.1103,0.279,0.8412,1,0.0,0.4261,0.1147,1
46270,1,84.66,89.88,3.657,9.35,33.9,14.27,1.12,18,5.22,0,0,0,0,0,0,0,0,2.457,3.198,0.459,62,2515,-0.1912,0.1072,0.2436,-0.0772,0,0.0,0.0,0.0,0
173995,16,98.6,109.33,2.718,17.5,73.57,14.07,2.42,178,10.73,0,0,0,0,0,0,0,0,1.518,2.668,0.05,71,2747,0.0503,0.0838,0.3685,0.0147,0,0.0298,0.0,0.0211,0
190595,16,86.44,88.79,2.608,9.21,33.11,13.48,2.81,249,2.34,0,0,1,0,0,0,0,0,1.408,2.917,-0.309,104,805,0.1636,0.3048,0.1982,0.0466,1,0.0,0.2572,0.0626,0
197235,16,91.7,100.58,2.729,14.31,45.36,13.77,2.68,219,8.89,0,0,1,0,0,0,0,0,1.529,2.73,-0.001,84,2088,0.0086,-0.0086,0.112,0.0663,1,0.0,0.001,0.0264,0
208995,14,93.67,100.86,2.49,12.12,50.0,13.23,2.88,61,7.19,0,0,0,0,0,0,0,0,1.29,2.783,-0.292,94,1311,-0.0665,0.0851,0.3297,0.7716,0,0.0,0.2437,0.0654,1
134734,10,91.15,97.87,2.816,12.47,37.92,14.01,2.11,86,6.72,0,0,0,0,0,0,0,0,1.616,2.874,-0.058,38,3359,0.0434,-0.1379,0.2924,0.0737,0,0.0,0.0482,0.0261,1
186900,15,91.53,98.34,2.764,13.73,61.35,13.51,3.05,158,6.81,0,0,0,0,0,0,0,0,1.564,2.859,-0.094,76,2316,-0.0582,0.0391,-0.0778,0.1575,0,0.0,0.0787,0.0068,0
68838,6,86.6,93.9,3.43,12.34,49.63,14.3,1.72,273,7.3,0,0,1,0,0,0,0,0,2.23,3.081,0.349,116,2035,0.079,0.0729,0.1542,-0.018,1,0.0,0.0,0.0408,0
193186,16,96.22,102.74,1.687,9.31,39.13,13.52,3.24,415,6.52,0,0,1,0,0,0,1,0,0.487,2.662,-0.975,106,2500,0.7276,1.0051,0.6212,0.1499,2,0.0,0.8125,0.3124,1
179027,12,88.09,98.73,2.477,15.92,61.2,14.19,2.31,154,10.64,0,0,0,0,0,0,0,0,1.277,2.91,-0.433,65,1108,0.1142,0.0714,0.0728,-0.1337,0,0.0,0.3608,0.0525,0
123504,10,86.97,92.03,2.921,10.46,27.78,13.9,2.39,219,5.07,0,0,1,0,0,0,0,0,1.721,2.95,-0.03,58,3407,0.002,0.3569,0.1951,0.0654,1,0.0,0.0246,0.0375,1
125140,11,90.03,95.69,3.237,8.84,34.08,13.68,2.43,128,5.66,0,0,0,0,0,0,0,0,2.037,2.883,0.355,107,3410,0.3037,-0.0029,0.1665,-0.0036,0,0.0,0.0,0.0227,0
130315,12,90.74,103.56,2.288,13.13,49.88,13.94,2.35,14,12.82,0,0,0,0,0,0,0,0,1.088,2.768,-0.481,87,993,0.1437,0.5286,0.8112,-0.109,0,0.0,0.4005,0.1536,0
8280,1,84.49,94.09,3.887,13.68,53.22,14.39,0.87,167,9.6,0,0,0,0,0,0,0,0,2.687,3.191,0.696,43,3280,-0.1403,-0.2105,0.187,-0.0218,0,0.0,0.0,0.0,0
8723,3,86.76,89.9,3.68,12.9,46.52,14.03,1.64,146,3.14,0,0,0,0,0,0,0,0,2.48,3.208,0.472,78,3723,-0.032,0.3164,0.0248,0.0585,0,0.0,0.0,0.0252,0
42015,5,91.66,95.18,3.477,12.64,40.22,14.24,1.47,63,3.52,0,0,0,0,0,0,0,0,2.277,3.037,0.439,75,1525,0.1747,0.033,0.2753,-0.0215,0,0.0,0.0,0.0416,0
76332,3,89.24,94.3,3.175,8.86,38.48,14.07,1.3,281,5.06,0,0,1,0,0,0,0,0,1.975,3.088,0.087,114,1373,0.2403,0.3564,0.0807,0.112,1,0.0,0.0,0.0647,0
104006,9,93.37,97.97,2.923,12.97,57.84,13.77,1.86,108,4.61,0,0,0,0,0,0,0,0,1.723,2.972,-0.049,102,1378,0.0491,0.0904,-0.0841,0.1975,0,0.0,0.0407,0.0,0
189216,14,107.65,104.71,2.573,11.19,45.37,13.64,2.35,94,-2.95,0,0,0,1,0,0,0,0,1.373,2.687,-0.114,48,2901,0.8995,0.1394,0.1172,0.0458,1,0.4827,0.0954,0.1025,1
